interaction_id,ego_case_id,ego_id,intersection_id,intersection_name,movement_name,center_x_m,center_y_m,radius_m,window_start_s,window_end_s,window_duration_s,n_vehicles,n_motor_vehicles,n_neighbors,peak_simultaneous
I0001,719_1_2_5_I_WB_->_23_SB_middle,719,1,I ST. & 23 ST.,I WB -> 23 SB middle,42.901,38.546,30.0,1070.7,1079.1,8.4,8,8,7,6
I0002,719_2_0_2_22_NB_middle_->_I_WB,719,2,I ST. & 22 ST.,22 NB middle -> I WB,184.646,40.621,30.0,980.2,986.2,6.0,4,4,3,4
I0003,719_2_0_3_22_NB_middle_->_I_EB,719,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,980.2,990.0,9.8,4,4,3,4
I0004,719_3_5_7_23_SB_middle_->_H_EB_right,719,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,1093.7,1120.2,26.5,25,25,24,9
I0005,889_1_2_5_I_WB_->_23_SB_middle,889,1,I ST. & 23 ST.,I WB -> 23 SB middle,42.901,38.546,30.0,1527.5,1623.5,96.0,29,29,28,7
I0006,889_2_0_2_22_NB_middle_->_I_WB,889,2,I ST. & 22 ST.,22 NB middle -> I WB,184.646,40.621,30.0,1438.2,1504.7,66.5,12,12,11,6
I0007,889_2_0_3_22_NB_middle_->_I_EB,889,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,1438.2,1507.3,69.1,12,12,11,6
I0008,889_3_5_7_23_SB_middle_->_H_EB_right,889,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,1642.6,1658.8,16.2,13,13,12,7
I0009,1030_1_3_6_I_WB_->_23_SB_middle,1030,1,I ST. & 23 ST.,I WB -> 23 SB middle,42.901,38.546,30.0,1965.8,2068.8,103.0,38,38,37,7
I0010,1030_2_0_3_22_NB_middle_->_I_WB,1030,2,I ST. & 22 ST.,22 NB middle -> I WB,184.646,40.621,30.0,1902.0,1948.3,46.3,9,9,8,7
I0011,1030_2_0_2_22_NB_middle_->_I_EB,1030,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,1902.0,1948.3,46.3,9,9,8,7
I0012,1030_3_6_8_23_SB_middle_->_H_EB_right,1030,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,2081.0,2095.5,14.5,12,12,11,6
I0013,1209_2_0_2_22_NB_middle_->_I_EB,1209,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,2332.2,2388.4,56.2,10,10,9,6
I0014,1209_3_4_6_23_SB_middle_->_H_EB_right,1209,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,2527.6,2536.7,9.1,16,16,15,8
I0015,1328_2_0_2_22_NB_middle_->_I_EB,1328,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,2771.0,2828.7,57.7,7,7,6,4
I0016,1328_3_4_6_23_SB_middle_->_H_EB_right,1328,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,2958.6,2978.9,20.3,11,11,10,6
I0017,1524_2_0_2_22_NB_middle_->_I_EB,1524,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,3270.6,3279.6,9.0,3,3,2,3
I0018,1524_3_4_6_23_SB_middle_->_H_EB_right,1524,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,3393.6,3421.3,27.7,16,16,15,7
I0019,1671_2_0_2_22_NB_middle_->_I_EB,1671,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,3708.0,3731.0,23.0,4,4,3,4
I0020,1671_3_4_6_23_SB_middle_->_H_EB_right,1671,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,3847.2,3863.3,16.1,21,21,20,10
I0021,1819_1_3_6_I_WB_->_23_SB_middle,1819,1,I ST. & 23 ST.,I WB -> 23 SB middle,42.901,38.546,30.0,4181.7,4260.1,78.4,17,17,16,5
I0022,1819_2_0_3_22_NB_middle_->_I_WB,1819,2,I ST. & 22 ST.,22 NB middle -> I WB,184.646,40.621,30.0,4151.7,4165.7,14.0,5,5,4,5
I0023,1819_2_0_2_22_NB_middle_->_I_EB,1819,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,4151.7,4165.7,14.0,5,5,4,5
I0024,1819_3_6_8_23_SB_middle_->_H_EB_right,1819,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,4274.5,4292.8,18.3,13,13,12,5
I0025,1957_2_0_2_22_NB_middle_->_I_EB,1957,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,4602.4,4614.3,11.9,5,5,4,4
I0026,1957_3_4_6_23_SB_middle_->_H_EB_right,1957,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,4722.5,4747.1,24.6,19,19,18,8
I0027,2068_1_3_6_I_WB_->_23_SB_middle,2068,1,I ST. & 23 ST.,I WB -> 23 SB middle,42.901,38.546,30.0,5047.2,5139.4,92.2,31,31,30,7
I0028,2068_2_0_3_22_NB_middle_->_I_WB,2068,2,I ST. & 22 ST.,22 NB middle -> I WB,184.646,40.621,30.0,5021.0,5032.8,11.8,10,10,9,6
I0029,2068_2_0_2_22_NB_middle_->_I_EB,2068,2,I ST. & 22 ST.,22 NB middle -> I EB,184.646,40.621,30.0,5021.0,5032.8,11.8,10,10,9,6
I0030,2068_3_6_8_23_SB_middle_->_H_EB_right,2068,3,H ST. & 23 ST.,23 SB middle -> H EB right,39.202,199.592,30.0,5152.8,5174.4,21.6,17,17,16,9
