iteration,cost_through_southbound,cost_left_turn_northbound,cost_follower_southbound,cost_follower_left_turn,total_cost
1,400445.7608003856,153417.6244850649,403825.36697162135,141726.8448249032,1099415.597081975
2,209197.73794886025,135930.45913230017,213247.88225555615,175353.70585143662,733729.7851881532
3,161088.964638848,122716.20424537703,163052.7797280383,132459.03525042286,579316.9838626862
4,149075.8627149551,121892.53340770403,150549.0988249746,121411.42619374693,542928.9211413807
5,146066.67228539655,110814.81592570446,147424.0408859222,117675.62800269765,521981.15709972085
6,145306.2659282128,106616.70446027743,146637.95448796073,116064.73766601413,514625.662542465
7,145109.4516269511,114276.07891176887,146437.51005340426,114590.44888737917,520413.48947950336
8,145055.18933112884,124977.31722927686,146385.770951122,113884.65715229482,530302.9346638225
9,145037.90982790515,137663.57170776528,146370.88474349875,114934.51355319716,544006.8798323664
10,145030.88576960278,149493.85691438115,146365.9865975519,118826.79903646787,559717.5283180038
11,145027.16656029905,159220.48655185616,146363.9048336805,125083.44594426517,575695.0038901009
12,145024.8132979773,163952.69102341842,146362.72797597628,132722.50943901014,588062.7417363821
13,145023.19349292322,163350.89484060206,146361.91220649373,140898.1259702185,595634.1265102376
14,145022.04145290251,157290.44101997447,146361.2833887981,144673.51050829655,593347.2763699717
15,145021.2125027169,147967.78194975283,146360.77449159385,143127.6787849577,582477.4477290213
16,145020.61370852112,138274.62264803008,146360.35324447064,144272.9805076464,573928.5701086682
17,145020.18065952402,131059.0704864013,146360.00061880634,144800.5634747525,567239.8152394842
18,145019.8673933705,126645.36441672189,146359.70365662518,144975.32837407634,563000.2638407939
19,145019.6407896026,123980.64596512934,146359.4527141843,144609.2698367751,559969.0093056913
20,145019.47689880643,121620.27351155481,146359.24022733845,143378.51208545832,556377.502723158
21,145019.35838665342,119762.19727828089,146359.06007628984,141370.13940812947,552510.7551493536
22,145019.27270512813,118165.84898582718,146358.9072174122,138708.61549520376,548252.6444035713
23,145019.2107718155,116810.72704946816,146358.7774471938,135547.93605188813,543736.6513203656
