step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_follower_southbound_to_follower_left_turn_m
0,0.0,True,4.5,38.0,6.0,-1.5707963267948966,0.001822422155451576,1.0276855546059642,66.0,True,13.5,-7.0,6.0,1.5707963267948966,-0.009458975533983834,8.0,36.800135869314396,True,4.5,46.0,6.0,-1.5707963267948966,0.0004271830245933955,0.969746139899251,66.0,True,13.5,-15.0,6.0,1.5707963267948966,0.0002067855232973385,2.7049708829662666,38.108398024582456,45.89117562233506,8.0,53.75872022286245,53.75872022286245,8.0,61.66036003787198
1,0.1,True,4.5,37.4,6.102768555460597,-1.5697028735016256,0.0010204144760400226,0.8368527543955672,65.4,True,13.5,-6.4,6.8,1.5651209414745062,0.012902349817452495,8.0,36.444615514503646,True,4.5,45.4,6.096974613989925,-1.5705400169801405,0.00022218348933261852,0.7853537652221713,65.4,True,13.5,-14.4,6.270497088296627,1.570920398108875,-0.00040655013813705154,2.292903551483228,37.63787985527346,44.7150981213281,8.0,52.57604017040462,52.57604017040462,8.0,60.47346525543248
2,0.2,True,4.500667309104527,36.789723509289644,6.186453830900153,-1.5690801381638342,0.0005895070733371973,0.674627194712281,64.78972351272616,True,13.503859241300095,-5.7200109513701065,7.6,1.5738945393503738,0.024439002640359447,7.258186944955121,36.052691493914104,True,4.500156271441678,44.79030255862796,6.1755099905121424,-1.5704045522707295,0.00010652223023896007,0.6284724376996431,64.79030255881642,True,13.499922201118896,-13.772950295996642,6.49978744344495,1.5706654709631316,-0.0006101886976396486,1.943661030787399,37.150087647198546,43.452675278787545,8.0005790656596,51.35728352387058,51.30651457707617,8.052940307025716,59.25074152872414
3,0.30000000000000004,True,4.501729020756468,36.17107903724858,6.253916550371382,-1.5687154423346152,0.0003834852526519164,0.5368473634184944,64.17107906054187,True,13.501504603524934,-4.9600145989571836,8.325818694495512,1.592468181357047,0.03117662169349046,6.109526564790391,35.619390178137344,True,4.500398212184291,44.172751606969854,6.238357234282107,-1.5703387693610242,4.3999649878250054e-05,0.4950926399773739,64.17275160820537,True,13.500007254627874,-13.12297155721702,6.694153546523689,1.5702688612796265,-0.0005846244251792055,1.6445337264045667,36.6490364153766,42.10419010324889,8.00167268038885,50.10860639834138,49.950461772785644,8.162957095590814,57.998214246853955
4,0.4,True,4.503030387593853,35.545688736208945,6.307601286713231,-1.568475613857777,0.0003190269319603545,0.4199590216222976,63.545688808466004,True,13.483462422726209,-4.127628240918961,8.936771350974551,1.6184252713297347,0.036128110931903046,5.150568264228967,35.144568834389034,True,4.500683652847101,43.548915948844396,6.287866498279844,-1.5703113208076118,1.3411039573026582e-05,0.3817907341626046,63.54891595252173,True,13.500360348126472,-12.453556295686976,6.858606919164146,1.5698775047127067,-0.0004361970773988322,1.38425749608637,36.13813345722561,40.67702348384523,8.003227556694398,48.83522775671967,48.5153911692676,8.325945202381286,56.720993275145155
5,0.5,True,4.504494199470735,34.91493030608196,6.34959718887546,-1.568274384389124,0.0003482503191453706,0.32092618414012175,62.91493046659894,True,13.44091361539614,-3.2349645748101716,9.451828177397449,1.6507121380038408,0.040338677410387824,4.371277542538013,34.63064145455293,True,4.500988618125036,42.9201293729714,6.326045571696104,-1.5703028881249679,2.072763735160761e-06,0.2856434690910529,62.920129380738125,True,13.50099053198684,-11.767695893284005,6.997032668772783,1.56957833428339,-0.0002373681336140832,1.153295506769363,35.6203045947093,39.18257356785601,8.005199834459356,47.54160846175385,47.01292329014838,8.53294280943985,55.423445100444624
6,0.6000000000000001,True,4.506095529614292,34.27997260642668,6.381689807289472,-1.568053259464377,0.00044378598746119645,0.237154988124181,62.27997290472066,True,13.36545893933751,-2.2927983735424062,9.88895593165125,1.6888395627824857,0.044228979949092376,3.7171529771855445,34.0788945581559,True,4.50130076966365,42.28752489281561,6.35460991860521,-1.5703015768851831,2.30489324544987e-06,0.20415496385832352,62.2875249063978,True,13.501842765115457,-11.067993145413574,7.112362219449719,1.5694122470248477,-4.051507616836633e-05,0.9442410424913658,35.098103652270716,37.63051816250756,8.007553721891322,46.231606787511765,45.453036450714464,8.776254544633996,54.1093435678136
7,0.7000000000000001,True,4.507846067901382,33.64180602662143,6.4054053061018905,-1.567770049013097,0.0005902079945488992,0.16642853700090565,61.641806525964206,True,13.248997410280177,-1.3107845210784848,10.260671229369803,1.7325774061443318,0.048000179139064604,3.1545618943441314,33.48948403901783,True,4.5016151639191735,41.65206397872836,6.375025414991042,-1.5703001122154352,9.461056030489532e-06,0.1351943439220586,61.65206399988543,True,13.502827172467676,-10.356757604717862,7.206786323698855,1.569383431235142,0.00011912034939307237,0.752024689428748,34.573805710729935,36.02903430270553,8.010260375509443,44.908610384786094,43.844304617376544,9.049533611081857,52.78199825813323
8,0.8,True,4.50978451851867,33.0012684291585,6.422048159801981,-1.5673919968710983,0.0007787352339505158,0.10685108667452436,61.00126921387007,True,13.083722331891801,-0.2981158243983273,10.576127418804216,1.7818288118540115,0.05174409228040824,2.654496174040113,32.86175972852471,True,4.501931501961727,41.01456151571503,6.388544849383249,-1.5702940807681705,2.0801424716761383e-05,0.0769424730788755,61.01456154628724,True,13.503845415768579,-9.636079691683815,7.28198879264173,1.5694692787256301,0.00022443886222068068,0.5736353800313235,34.04948122810892,34.38548242054513,8.013296934528492,43.57564212035591,42.19460205828452,9.347409940316915,51.44435740518332
9,0.9,True,4.5119707913679585,32.35906733457894,6.432733268469433,-1.5668918893534818,0.0010035827810690014,0.056800176997167974,60.359068521640395,True,12.862184623559958,0.7360339498485651,10.841577036208227,1.8365540231668076,0.055494507180706615,2.1906130923246727,32.19450929466597,True,4.502252364074954,40.37570711135257,6.396239096691136,-1.570280791684697,3.484505375210618e-05,0.027846451085900364,60.37570715336569,True,13.504811770401714,-8.907881453619261,7.3393523306448625,1.5696327148535625,0.0002745658844888016,0.40746127881304056,33.52704836340841,32.70691534668322,8.016645667508213,42.235438332778806,40.51162988246757,9.665302579800695,50.09908360145786
