step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_follower_southbound_to_follower_left_turn_m
0,0.0,True,4.5,38.0,6.0,-1.5707963267948966,0.0018224221610486835,1.0276855642651317,66.0,True,13.5,-7.0,6.0,1.5707963267948966,-0.00832921434542101,8.0,36.800135869314396,True,4.5,46.0,6.0,-1.5707963267948966,0.00042718302660121356,0.9697461354708227,66.0,True,13.5,-15.0,6.0,1.5707963267948966,0.00020677793338189025,2.7046288910742087,38.108398024582456,45.89117562233506,8.0,53.75872022286245,53.75872022286245,8.0,61.66036003787198
1,0.1,True,4.5,37.4,6.102768556426513,-1.5697028734982674,0.0010204144615363346,0.8368527631087048,65.4,True,13.5,-6.4,6.8,1.565798798187644,0.013901527628304622,8.0,36.444615514503646,True,4.5,45.4,6.096974613547082,-1.5705400169789359,0.00022218348705410038,0.785353761517468,65.4,True,13.5,-14.4,6.270462889107421,1.5709203935549256,-0.00040656025865014913,2.2925941434090182,37.63787985527346,44.7150981213281,8.0,52.57604017040462,52.57604017040462,8.0,60.47346525543248
2,0.2,True,4.5006673091066824,36.78972350919305,6.186453832737383,-1.5690801381692288,0.0005895070658321313,0.6746272025386224,64.78972351262956,True,13.503398305307279,-5.720008491581668,7.6,1.5752518369748911,0.0253481192003718,7.397029494758721,36.05231287244724,True,4.500156271442401,44.790302558672245,6.175509989698829,-1.570404552270924,0.00010652223170283598,0.62847243456381,64.7903025588607,True,13.499922204398747,-13.772953715915182,6.499722303448323,1.5706654614535205,-0.000610201029649418,1.9433819977143205,37.150090298019336,43.45257737082625,8.00057906580048,51.35728689135473,51.306431268543264,8.052945974573124,59.250744909503084
3,0.30000000000000004,True,4.501729020755602,36.171079036968266,6.253916552991246,-1.5687154423445444,0.00038348525707825525,0.5368473704532024,64.17107906026158,True,13.500012128773996,-4.960016035166155,8.339702949475871,1.5945164075671736,0.03171465425142209,6.299926150470757,35.61815486127689,True,4.500398212184861,44.17275160709547,6.2383572331552095,-1.5703387693603235,4.399964985111441e-05,0.4950926373183332,64.17275160833098,True,13.500007263236313,-13.122981491135977,6.694060503219755,1.5702688477293205,-0.0005846371361310008,1.6442807402970538,36.64904404378014,42.10387251459193,8.001672680794783,50.108616172046766,49.95019426224623,8.162965455971271,57.99822406191023
4,0.4,True,4.503030387587323,35.54568873566663,6.307601290036566,-1.5684756138648375,0.0003190269330880241,0.4199590279401598,63.54568880792369,True,13.480232140980668,-4.126280342672508,8.969695564522947,1.6209654871273929,0.036321145395632776,5.356568399105051,35.141125292634136,True,4.500683652848057,43.5489159490827,6.287866496887043,-1.570311320806933,1.3411047329006229e-05,0.38179073194831653,63.548915952760034,True,13.500360360897854,-12.453575533939816,6.85848857724946,1.5698774880931514,-0.0004362082280550679,1.3840244604342453,36.13814808052286,40.674995782099664,8.003227557475013,48.83524666746498,48.5134685681009,8.327319517572306,56.721012271956354
5,0.5,True,4.504494199460523,34.91493030520731,6.349597192830582,-1.5682743843953673,0.0003482503102033999,0.3209261897956868,62.91493046572428,True,13.43525080628689,-3.230439360839575,9.505352404433452,1.6535444488027529,0.04020848587614343,4.542187564814604,34.62344450395226,True,4.500988618126351,42.920129373348985,6.326045570081875,-1.570302888119414,2.0727618917861247e-06,0.2856434672460224,62.9201293811157,True,13.500990545283207,-11.767726965733791,6.996891023292885,1.5695783151782097,-0.0002373754507076952,1.153077091346912,35.620327953593616,39.17687634982838,8.005199835711592,47.541638974445874,47.00740404804181,8.537540709241961,55.42347576301024
6,0.6000000000000001,True,4.506095529601113,34.27997260515651,6.38168981181015,-1.5680532594761603,0.00044378597681285655,0.2371549931274326,62.279972903450485,True,13.356685531282446,-2.2831565409340495,9.959571160914912,1.6917640315928957,0.0438337453371643,3.833424893840154,34.06644221812779,True,4.501300769668399,42.28752489335462,6.354609916806477,-1.5703015768807957,2.304884328078416e-06,0.20415496231836144,62.28752490693681,True,13.501842774527193,-11.068038382417127,7.112198732427576,1.569412226162189,-4.0516485196993426e-05,0.9440326494969066,35.09813725692246,37.619082343028495,8.007553723700495,46.23165116047333,45.44186927045444,8.78608101454144,54.109388176693614
7,0.7000000000000001,True,4.507846067881923,33.641806024899175,6.405405311122894,-1.5677700490314752,0.0005902079900053913,0.16642854128722565,61.64180652424195,True,13.236500501027995,-1.294477555825123,10.342913650298927,1.7354205621863867,0.04741025456776928,3.2076807932320075,33.470628323410644,True,4.501615163926621,41.65206397944724,6.375025413038313,-1.5703001122167148,9.461044977805725e-06,0.13519434258217308,61.65206400060431,True,13.502827174089434,-10.356819190428507,7.206601997377266,1.5693834100327229,0.00011912624926379683,0.7518224005744791,34.57385087940307,36.01018354085504,8.010260377950562,44.908670721141355,43.82583315458114,9.066254231988529,52.78205894269078
8,0.8,True,4.509784518488958,33.00126842693411,6.422048165251616,-1.5673919968920904,0.0007787352384202124,0.1068510901979383,61.00126921164567,True,13.06699911696572,-0.27416980393044477,10.663681729622128,1.7844565790996996,0.05103717151576527,2.6423680102509537,32.835814301841005,True,4.5019315019682615,41.014561516629186,6.38854484729653,-1.570294080776498,2.0801415763730772e-05,0.07694247190464258,61.014561547201396,True,13.503845406626686,-9.636159710029808,7.281784237434714,1.5694692595793114,0.00022445238912304928,0.5734358869206745,34.04953911812468,34.35812438333132,8.013296937667,43.57572041165001,42.167756844665575,9.372176357852904,51.44443618825661
9,0.9,True,4.511970791326621,32.35906733180954,6.43273327427141,-1.5668918893711792,0.0010035827867843205,0.05680017956383796,60.35906851887099,True,12.840888184701896,0.7679505953601329,10.927918530647224,1.8388809944421252,0.054753457544239756,2.1141288399824543,32.161282025730685,True,4.502252364076064,40.375707112475396,6.396239094486995,-1.5702807916987487,3.484505286611419e-05,0.027846450020392467,60.37570715448852,True,13.504811748056294,-8.907981927486446,7.339127826126781,1.5696327009662285,0.0002745860174316149,0.40726180230733333,33.52711999496204,32.670621689855295,8.016645671400385,42.23553649525712,40.476008000642935,9.698683657314398,50.099182436939486
10,1.0,True,4.514482405398457,31.71579890760862,6.438413292227794,-1.5662463113325757,0.0012590823093691433,0.014885513897033527,59.71580066376082,True,12.551424007067208,1.8217079317478344,11.139331414645468,1.8987151267735956,0.05855723257807881,1.5976948783754035,31.446004430889015,True,4.502582112635113,39.73608328802518,6.399023739489034,-1.5702585039698096,5.100818039285076e-05,-0.013419261161783772,59.73608334383153,True,13.50566574773341,-8.174069641741866,7.379854006357514,1.5698342231543483,0.00027936840920334493,0.2524273197209482,33.008390236490925,30.955598937537538,8.020293209086665,40.890622284087854,38.75930487635525,10.041222365743591,48.7487258161097
11,1.1,True,4.51741188329369,31.071964242982197,6.439901843617497,-1.5654356621049106,0.001537095743108415,-0.020086429289384995,59.07196680912061,True,12.19265574531777,2.876284803300763,11.299100902483008,1.963943968814765,0.06240351824727831,1.0645549739017999,30.688928103546974,True,4.502926266721059,39.09618100662324,6.397681813372856,-1.5702258637140853,6.942264549045308e-05,-0.04798605421432473,59.09618107907325,True,13.506375766064496,-7.436084582661752,7.405096738329609,1.5700403929617393,0.0002534047037887765,0.1083274082597684,32.49503951460556,29.221665034813,8.024229838619119,39.543283829797645,37.02719028543016,10.395711743091365,47.39529347687367
12,1.2000000000000002,True,4.520864082201491,30.427983311683,6.437893200688558,-1.5644457875339246,0.0018245071539177305,-0.04914293151172335,58.42798703686645,True,11.759789664753143,3.9199915477177663,11.405556399873188,2.0344543337493586,0.06615736327473767,0.4790458989338308,29.889337723241397,True,4.503291230828995,38.45641292938523,6.3928832079514235,-1.5701814493144364,9.087471389574777e-05,-0.07681956612107117,58.456413022037175,True,13.506935542327414,-6.695575120405709,7.4159294791555865,1.5702280415962897,0.00021132652149200002,-0.025636425004351007,31.9886542135849,27.478640267454455,8.02844884965357,38.19565513179731,35.2905252351625,10.758381588459248,46.04093434908159
13,1.3,True,4.524952464073957,29.78420697337257,6.432978907537386,-1.5632711893138431,0.0021007913479735066,-0.07317143204043473,57.784212360877795,True,11.249707068744435,4.940130221210689,11.45346098976657,2.1099104875590506,0.06950071321258051,-0.2039108041565719,29.047332326714255,True,4.503684314796204,37.81712472943933,6.385201251339317,-1.5701233541711872,0.00011682749296845135,-0.10074395279401062,57.817124846828214,True,13.507356978600422,-5.953982292238152,7.413365836655151,1.5703847598543357,0.00016527488268938665,-0.15014213256766643,31.49071618783517,25.738113259529094,8.032945911053199,36.84971862643186,33.56196643361178,11.125586302355277,44.68753664434949
14,1.4000000000000001,True,4.529793323455064,29.14092729677097,6.425661764333342,-1.5619197546707781,0.002335877664824558,-0.09294238128790956,57.140935063901324,True,10.661713872097685,5.923024766489166,11.433069909350914,2.1895128583131753,0.07118101184237897,-1.0855070070598103,28.16448945014582,True,4.504114021327672,37.178604748895765,6.375126856059916,-1.570048757465758,0.00014950005906038479,-0.12046265583080486,57.17860489689843,True,13.507662088221473,-5.2126457713591545,7.398351623398384,1.5705072841712344,0.0001243148191709194,-0.26596629313437814,31.0026003092071,24.01398441576349,8.037718472984304,35.5073247387736,31.856354404715223,11.493588629160227,43.33684342985631
15,1.5,True,4.535497033561427,28.49838643520092,6.416367526204551,-1.5604187986910758,0.0024887799304412284,-0.10912898710591477,56.49839758630936,True,9.99860714191399,6.854389539231909,11.324519208644933,2.2708946067744007,0.06858797351030213,-1.7702722108302669,27.24478928342364,True,4.504590606213977,36.5410922414299,6.3630805904768355,-1.569953449281608,0.0001919772343675004,-0.13657618322532442,56.54109242778698,True,13.507875932114896,-4.472810639924316,7.371754994084947,1.570599256645657,9.455969671598883e-05,-0.3739634850636671,30.525572640952312,22.322817333139206,8.042765189460695,34.170212461527875,30.190802159320555,11.858348592470831,41.990467682805566
16,1.6,True,4.542155517480571,27.856784232192528,6.40545462749396,-1.5588219060185204,0.002507749812226391,-0.12232411288122981,55.85680013972664,True,9.268976463160431,7.720464839475081,11.147491987561907,2.348567189124345,0.06517762604828486,-2.0904072310759867,26.296631032302873,True,4.5051269359049675,35.90478440841235,6.349422972154303,-1.5698312926202262,0.00024831839945130957,-0.14959735120550674,55.90478464350378,True,13.50802120739964,-3.7356351548305327,7.33435864557858,1.5706689637373075,7.995296720804296e-05,-0.4750213905552618,30.06078983896586,20.683669764769657,8.048085359406159,32.84003212993584,28.58408878873546,12.215225230145826,40.64990736045582
17,1.7000000000000002,True,4.549825495079333,27.21628469176141,6.393222216205837,-1.5572155782545882,0.0023329952577392406,-0.13305434580177697,55.21630717226212,True,8.486764810435742,8.51470076567666,10.938451264454308,2.4212238955385015,0.06176889244529409,-2.247634872051563,25.331023608222175,True,4.505739676825617,35.269842406854906,6.334463237033753,-1.5696736247652379,0.00032362249078754393,-0.15996437131374533,55.26984270488262,True,13.508114620033643,-3.0021992962213337,7.286856506523054,1.5707276041109357,8.297154585922435e-05,-0.5700371218259052,29.60929976357954,19.111481693400712,8.053678378834922,31.518371128252234,27.049698064007032,12.563954033109754,39.31656051513289
18,1.8,True,4.558507702515325,26.577021426484954,6.379916781625659,-1.55572404254338,0.0019031935704297838,-0.14179091414890754,54.577052787213155,True,7.664671805657295,9.23626867803333,10.713687777249152,2.4887894975057185,0.058372094099250156,-2.330476495904372,24.356463011309565,True,4.506450848149518,34.63639648236832,6.318466799902379,-1.5694686272881808,0.000423991402637649,-0.1680521142479804,54.63639686318994,True,13.508164697267281,-2.2735136472897493,7.229852794340464,1.5707880642858159,0.00010475676518490928,-0.6598830113494418,29.17204280054705,17.616752292025346,8.059543176103809,30.206782919847935,25.595719409561294,12.908195007460028,37.991740128623135
