step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,right_turn_northbound_active,right_turn_northbound_x_m,right_turn_northbound_y_m,right_turn_northbound_speed_mps,right_turn_northbound_heading_rad,right_turn_northbound_kappa_radpm,right_turn_northbound_a_mps2,right_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_through_southbound_to_right_turn_southbound_m,distance_through_southbound_to_right_turn_northbound_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_left_turn_northbound_to_right_turn_southbound_m,distance_left_turn_northbound_to_right_turn_northbound_m,distance_follower_southbound_to_follower_left_turn_m,distance_follower_southbound_to_right_turn_southbound_m,distance_follower_southbound_to_right_turn_northbound_m,distance_follower_left_turn_to_right_turn_southbound_m,distance_follower_left_turn_to_right_turn_northbound_m,distance_right_turn_southbound_to_right_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005866803933095992,2.3218885121283885,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.0513005096523727,5.94773407173297,40.91760012512953,True,5.5,46.0,6.0,-1.5707963267948966,-0.0042101271454133326,1.959676002625033,66.0,True,16.5,-15.0,6.0,1.5707963267948966,0.01783293500614345,-0.2438764607681546,41.379342672401165,True,5.5,55.0,6.0,-1.5707963267948966,-0.020482772373600557,0.11266299970217677,41.620307543313515,True,16.5,-23.0,6.0,1.5707963267948966,-0.03271844621554436,-0.5953645669357465,40.67247226319049,42.44997055358225,12.0,50.21951811795888,21.0,58.05170109479997,54.12947441089743,8.0,62.96824596572466,16.0,61.98386886924694,9.0,69.87131027825369,70.8590149522275,8.0,78.77182237323191
1,0.1,True,5.5,33.4,6.232188851212839,-1.5704443185589108,0.0009104295570934267,1.9385223824855944,61.4,True,16.5,-6.4,6.594773407173297,1.60157663258632,0.034791366339219795,4.95195583001099,40.598152667332045,True,5.5,45.4,6.195967600262503,-1.5733224030821447,-0.0014333675979866637,1.6406088411885797,65.4,True,16.5,-14.4,5.975612353923185,1.5814960877985826,0.01407031475223593,0.22879916279271198,40.94642841567504,True,5.5,54.4,6.0112662999702176,-1.5830859902190568,-0.016335456978041115,0.1589933348561997,41.0440007796511,True,16.5,-22.4,5.940463543306425,1.55116525906557,-0.02728852979621508,-0.43859517009829674,40.11246688998322,41.29213000076407,12.0,49.0493628908674,21.0,56.87389559367285,52.955075299729295,8.0,61.78705366013175,15.999999999999998,60.80328938470352,9.0,68.6865343426206,69.67381143586161,7.999999999999998,77.58376118750624
2,0.2,True,5.500219378175854,32.77678115349018,6.426041089461398,-1.5698769216653574,0.0010395670431561327,1.6110890993940299,60.776781153886105,True,16.47970429092903,-5.740835038011799,7.089968990174396,1.6245207503396313,0.025735697025831766,4.070265774980633,40.23719977910898,True,5.498434852981393,44.78040521681518,6.3600284843813615,-1.5742105130017838,-0.0001332551836063712,1.368319760234776,64.7804052357228,True,16.49360635959373,-13.802472970146162,5.998492270202456,1.5899039624642874,0.010462846991808872,0.6239807259881623,40.515034895350645,True,5.492612542007119,53.79891876526048,6.027165633455837,-1.592905668421728,-0.01264451314875132,0.18516238475607433,40.46524731660467,True,16.511661015197834,-21.80606810843491,5.896604026296595,1.5349546074250853,-0.02187812428354154,-0.30268378963821374,39.55500747239581,40.05191438652127,12.003624195973702,47.85897483270511,21.02213898803269,55.682486299334535,51.70090903799229,8.061649918989337,60.54501191719681,16.065264854313558,59.60576660968443,9.01851542787373,67.49110741715809,68.49065651268417,8.003615502273224,76.40375297998247
3,0.30000000000000004,True,5.500810191606646,32.134177316142505,6.587149999400801,-1.5692088916119002,0.0010877352908699536,1.3313687983461955,60.13417732160039,True,16.44163216208783,-5.032861086639402,7.4969955676724584,1.6427672797249984,0.020581156168349917,3.2910684862436574,39.84396502991581,True,5.496263425047323,44.1444060752103,6.496860460404839,-1.5742952636781267,0.0004493660771515331,1.1359844531856282,64.1444061840428,True,16.48214535654233,-13.202733242792837,6.0608903428012715,1.5961800931447552,0.007261263778940007,0.9455129318357934,40.082748988503,True,5.479287961226103,53.19634950676971,6.0456818719314445,-1.6005267259319214,-0.009423269367289449,0.19455429091148163,39.88402145897599,True,16.532790933177225,-21.216786412642858,5.8663356473327735,1.5220539438512704,-0.016629342445734014,-0.18243252033413238,38.999432768210255,38.74390699224368,12.01022961971274,46.64788506495827,21.06218318679311,54.4796285768594,50.38059847101585,8.169972605022375,59.252121959553094,16.184182057774883,58.389930551176455,9.051959348921285,66.28642713913536,67.30453967486085,8.014213198038584,75.22961335346541
4,0.4,True,5.501855858533946,31.475463146166835,6.720286879235421,-1.56849238405984,0.0011021772873188852,1.0923386444662586,59.47546317512172,True,16.38772213940139,-4.2851023455531125,7.826102416296824,1.6581969633821678,0.017688952664694748,2.6022972734312435,39.426267974728916,True,5.493990219216628,43.494724006075735,6.6104589057234024,-1.5740033168082375,0.0006790896739007224,0.9377718804827117,63.494724290488854,True,16.466762186220507,-12.596839460397385,6.155441635984851,1.6005810654961863,0.004613387997830716,1.197008470849141,39.64772499866518,True,5.461316555465847,52.59204848778909,6.065137301022593,-1.6062237348107362,-0.0066596546161416725,0.19044294264740327,39.30043112604341,True,16.561373530048797,-20.630849577798223,5.848092395299361,1.512298613413159,-0.011659444856408886,-0.07372100306541524,38.445173636939906,37.380745430937004,12.019263433622708,45.41582354003402,21.11662425495868,53.267070097896244,49.00597107843756,8.312112920027072,57.91715312326235,16.346669611450597,57.15474798083925,9.09738315637437,65.07362108266084,66.11135262156348,8.034567186406496,74.05946304127771
5,0.5,True,5.503404172777455,30.803436241857757,6.829520743682047,-1.5677516893035839,0.0011005536523396354,0.8879991915318025,58.80343634039274,True,16.319408556766987,-3.505479331057438,8.086332143639948,1.6720405189012606,0.016230969176475988,1.992029373267739,38.990698492826276,True,5.4918702552811025,42.83368151485789,6.704236093771674,-1.5735544073699752,0.0007369999354420505,0.768700236601441,62.83368204079198,True,16.448431074777663,-11.981568310664661,6.275142483069765,1.6034208095526663,0.002572148805177824,1.3820112379401446,39.20865030984156,True,5.439833840570763,51.98591533594596,6.084181595287333,-1.610262906773165,-0.004324626132486807,0.17584014364202372,38.714696583308395,True,16.595564025658597,-20.04704065644678,5.840720294992819,1.5054800623333413,-0.00706343772597727,0.026621456636630264,37.89172514565066,35.97342961998346,12.03025080203214,44.16276970984578,21.182574483726494,52.04620073537425,47.587324085030836,8.477070909245294,56.54785608751608,16.54386632334217,55.89953343656616,9.152381750360078,63.8535608727589,64.90784372588867,8.066814257549943,72.89168035492438
6,0.6000000000000001,True,5.505483511055329,30.120487332907636,6.918320662835227,-1.5670000639037651,0.0010859286495879066,0.7132268797808484,58.12048759158487,True,16.2376789341281,-2.700986979225582,8.285535080966723,1.6851654196786774,0.015759705010469,1.4492116104281278,38.54275027596179,True,5.490021175291335,42.16326045543814,6.781106117431818,-1.5730603052131453,0.0007151576310720733,0.624513052221577,62.16326125636896,True,16.427962378454055,-11.35438798229085,6.41334360686378,1.6050348695766812,0.0011187695565982366,1.5043744032332904,38.76471089679266,True,5.41582788973875,51.37797095430486,6.101765609651536,-1.6128940878453426,-0.0023794476259617367,0.15339632462688282,38.12712810008623,True,16.633686308998698,-19.464214072327326,5.843382440656482,1.501354505925488,-0.0029165049110169727,0.1209367876156964,37.338626389992655,34.53156808807044,12.042783048970467,42.88899424118072,21.25767268645382,50.81810219752864,46.13364114374471,8.655492863438544,55.15112103306247,16.767903995903968,54.62396225163643,9.215009181848142,62.62688631316894,63.69156901621621,8.112434994885016,71.72485989433615
7,0.7000000000000001,True,5.508109881147074,29.42866025182576,6.989643350813312,-1.5662487836422843,0.0010531361723733151,0.5636489431384891,57.42866082445075,True,16.143124469296332,-1.8778464268533392,8.430456242009535,1.6982231785516702,0.016021211705419397,0.9639424568585074,38.08693540486433,True,5.488485948812656,41.485151581555506,6.843557422653976,-1.5725753492344463,0.0006609452681697782,0.5015731028601315,61.48515265964811,True,16.406008314471993,-10.713429495903723,6.563781047187109,1.6057523749350175,0.00019018102948766412,1.5686726544921907,38.31555512846791,True,5.390148409199733,50.76833499749907,6.117105242114224,-1.6143459710147485,-0.0007812175207927133,0.125357333459083,37.538104231259624,True,16.674231216612878,-18.88128415034332,5.855476119418052,1.4996502805669756,0.0007240978804634513,0.2108472272909544,36.78544640087129,33.06358866959736,12.056507300315825,41.59509057061704,21.340000776944482,49.583596015406265,44.652781752982015,8.839492976757441,53.73310816168034,17.01173032920659,53.3280804183383,9.283704250230437,61.39403440212727,62.4608400093597,8.1722575327313,70.55777754609373
8,0.8,True,5.511288440667452,28.729703144075177,7.046008245127161,-1.5655126790178113,0.0009917004766504154,0.43553779738163,56.72970426719837,True,16.035988308781334,-1.0416360660023867,8.526850487695386,1.711729790974321,0.01686636556323731,0.5274993234870234,37.62688650193593,True,5.487268465232738,40.8007969222557,6.89371473293999,-1.5721230275448512,0.0005987377253628641,0.3967717101764794,60.80079825523145,True,16.38306860228053,-10.05745237285849,6.720648312636328,1.605877205598706,-0.0002965493022399802,1.5804204349788464,37.861253316548236,True,5.363517053412909,50.15720445799055,6.129640975460132,-1.6148238499939158,0.0005133651724921603,0.0935668058912254,36.9480519800998,True,16.715855477996556,-18.29721786410946,5.876560842147147,1.500074274351693,0.003817740541147855,0.2973489354831963,36.23177475939387,31.5769210923956,12.071117676538838,40.28199395483348,21.428010848903735,48.343289317174516,43.151647578215886,9.02249457794838,52.29935863562695,17.268969933349844,52.01230606299315,9.357225891613568,60.155270076632874,61.21466665428365,8.246483035540615,69.38936174341643
9,0.9,True,5.515011285925827,28.02511215468688,7.089562024865324,-1.5648139260442937,0.0008876046885943333,0.3257226446929948,56.02511416573775,True,15.916213869857351,-0.19740512829899037,8.579600420044088,1.726111488717175,0.018205437074426227,0.132357502704695,37.16545016409128,True,5.486353875850422,40.111426055655,6.933391903957638,-1.571710274837001,0.000540858882504219,0.30745140983152325,60.111427604584335,True,16.359496812922306,-9.38580104354553,6.8786903561342125,1.6056779052419348,-0.00042619589374452336,1.545955539579206,37.40225062770336,True,5.33653848033974,49.54483435627482,6.138997656049255,-1.6145091755742476,0.0015456917356529796,0.05949698170052217,36.357429576617335,True,16.75738108638587,-17.71103078035337,5.906295735695466,1.5023177928086517,0.006339579261283884,0.3808878697997993,35.67721581390096,30.07815647576194,12.086347875180802,38.95098577277494,21.52046226677881,47.097618297581974,41.63632849941368,9.199082522889531,50.85489081974573,17.53381435302825,50.67741832256086,9.43459786206783,58.91071692767523,59.95269300897509,8.334732273186653,68.21867076620885
