step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_follower_southbound_to_follower_left_turn_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005866889016008388,2.3218982493111118,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.05026045864900208,5.896571510037342,40.91760012512953,True,5.5,46.0,6.0,-1.5707963267948966,-0.004210118258880478,1.9597009880177014,66.0,True,16.5,-15.0,6.0,1.5707963267948966,0.019640093550335583,-0.5897603163174147,41.379342672401165,42.44997055358225,12.0,50.21951811795888,54.12947441089743,8.0,61.98386886924694
1,0.1,True,5.5,33.4,6.232189824931111,-1.570444313453936,0.0009104321471038651,1.938530689365149,61.4,True,16.5,-6.4,6.589657151003734,1.600952601984298,0.03412367292341338,4.9103473111345695,40.598152667332045,True,5.5,45.4,6.19597009880177,-1.5733223977502249,-0.0014333580953449297,1.6406301716031333,65.4,True,16.5,-14.4,5.941023968368259,1.582580382925098,0.015788303322421416,-0.06447172260510023,40.94642841567504,41.29213000076407,12.0,49.0493628908674,52.955075299729295,8.0,60.80328938470352
2,0.2,True,5.500219381391647,32.776781056119475,6.426042893867626,-1.569876914857589,0.0010395668503896305,1.6110961842565974,60.77678105651542,True,16.480131060346636,-5.7413338942113405,7.080691882117191,1.6234389325141263,0.02524970478469688,4.036667749002594,40.23782262560738,True,5.4984348556538745,44.78040496695371,6.360033115962084,-1.5742105021401882,-0.00013325053768355628,1.3683379679765717,64.78040498586125,True,16.4929992260371,-13.805938852397178,5.9345767961077485,1.5919602517709353,0.0119004084847196,0.37390156601271,40.517071933482505,40.05251102995354,12.003624043483013,47.86220850303668,51.701486913704116,8.064615224626891,59.609060786206776
3,0.30000000000000004,True,5.500810199363036,32.13417703833528,6.587152512293286,-1.5692088847404244,0.0010877337662424694,1.331374838560387,60.134177043793265,True,16.442873667035805,-5.03424559566689,7.4843586570174505,1.6413174704836122,0.0201918764776306,3.264721123263723,39.84573431411306,True,5.49626343304647,44.14440536216987,6.496866912759741,-1.5742952499234268,0.00044936648446378753,1.1359999924552318,64.1444054710019,True,16.48044026982897,-13.212614076150672,5.971966952709019,1.5990226405766974,0.008296744056741925,0.7311624148933314,40.08849050504534,38.74558547796618,12.010229184479476,46.65708671643679,50.38221894327024,8.178454759440564,58.39931352019123
4,0.4,True,5.501855871215582,31.475462617077863,6.720289996149324,-1.5684923779193234,0.0011021751135158432,1.0923437913370009,59.47546264603315,True,16.390136851251764,-4.287670031286646,7.810830769343823,1.6564297950352904,0.01735362527320903,2.582392180012011,39.42963007540925,True,5.493990233894332,43.4947226477725,6.610466912005265,-1.5740033024989653,0.0006790875449105645,0.9377851390034284,63.49472293218423,True,16.46358584678296,-12.615655265790801,6.0450831941983525,1.6039774287088922,0.005192416420691553,1.0127542506197618,39.65854428765864,37.38390455162132,12.019262604407313,45.43331597207355,49.009010000639215,8.32830912136814,57.17260303251197
5,0.5,True,5.5034041903038045,30.803435401087732,6.829524375283024,-1.567751684280387,0.0011005511258800314,0.8880035743722414,58.80343549962374,True,16.323331716317142,-3.509449081286166,8.069069987345024,1.6699844180596548,0.01592620721664885,1.977736286192678,38.99603576520398,True,5.4918702768502525,42.83367935590025,6.704245425905608,-1.5735543939243666,0.0007369966955899522,0.7687115451338966,62.83367988183156,True,16.443531275066697,-12.011479693294634,6.146358619260329,1.6071162876330924,0.0026930419526092144,1.2237963460653072,39.22568682148173,35.97839453295431,12.030249483841253,44.19053445218708,47.59208033129267,8.502880245037717,55.92790314102022
6,0.6000000000000001,True,5.505483533117956,30.120486128989644,6.918324732720248,-1.5670000602063425,0.001085925860823004,0.7132306088052505,58.120486387668954,True,16.243427322092217,-2.7065081168371785,8.266843615964293,1.6828353861260648,0.015471878500159382,1.4396918387655837,38.550392273685524,True,5.490021203300842,42.1632573632458,6.781116580418997,-1.573060293251835,0.0007151542361542296,0.6245226930761244,62.163258164172156,True,16.42121263228782,-11.397249182044934,6.268738253866859,1.6087715277948373,0.0008137771201951352,1.36938085940499,38.78891712678621,34.538601419726284,12.042781160690037,42.92872566386744,46.14034674114734,8.692559339976334,54.66460287466918
7,0.7000000000000001,True,5.508109907312711,29.428658640931907,6.989647793600773,-1.5662487814322592,0.001053133136935805,0.5636521126638825,57.42865921356061,True,16.151000036864303,-1.8850069113277201,8.410812799840851,1.6956257461266666,0.01574206265551228,0.9583609629738222,38.09716868631435,True,5.488485982564451,41.48514744304877,6.843568849726609,-1.5725753388270007,0.0006609422664496593,0.5015813169540809,61.485148521135116,True,16.397412694107917,-10.770827314692292,6.405676339807358,1.6092816633711862,-0.0004917515663347766,1.454963408804634,38.347732504063025,33.07290069873639,12.05650477269394,41.64823629253624,44.661610972742395,8.889236381067835,53.382502562913785
8,0.8,True,5.511288470398174,28.729701088914194,7.046013004867161,-1.565512678461564,0.0009916971542441144,0.4355404881448646,56.72970221204336,True,16.046280806840784,-1.0504701521595283,8.506648896138234,1.7088661003345544,0.016590921460835493,0.5250980244067859,37.63996318919054,True,5.487268504074028,40.800791641030834,6.8937269814220175,-1.5721230184363866,0.0005987354002316358,0.39677870313048463,60.80079297399857,True,16.372766318210456,-10.130734001292755,6.551172680687821,1.6089666632338329,-0.0013027807790625897,1.4866233069359818,37.902079890047055,31.58867934366011,12.071114450463215,40.34978458974353,43.16272529037219,9.08613142976757,52.08180456662609
9,0.9,True,5.515011318563344,28.02510962356061,7.089567053681647,-1.5648139273569948,0.0008876010468758625,0.325724925830409,56.025111634620316,True,15.929202509529425,-0.20790061394895942,8.559158698578912,1.7229794147076276,0.017931013717493775,0.13248450454320854,37.18159523227059,True,5.486353919345826,40.11141954957468,6.933404851735066,-1.5717102665980556,0.0005408573240634676,0.30745735699090626,60.111421098494304,True,16.34776634343468,-9.47609391988686,6.69983501138142,1.6081131890489608,-0.001708642255026285,1.4710377486506703,37.452303403623795,30.092494832321822,12.086343900212176,39.03445719663529,41.64973787584051,9.277639939083947,50.76309458583255
