step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,right_turn_northbound_active,right_turn_northbound_x_m,right_turn_northbound_y_m,right_turn_northbound_speed_mps,right_turn_northbound_heading_rad,right_turn_northbound_kappa_radpm,right_turn_northbound_a_mps2,right_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_through_southbound_to_right_turn_southbound_m,distance_through_southbound_to_right_turn_northbound_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_left_turn_northbound_to_right_turn_southbound_m,distance_left_turn_northbound_to_right_turn_northbound_m,distance_follower_southbound_to_follower_left_turn_m,distance_follower_southbound_to_right_turn_southbound_m,distance_follower_southbound_to_right_turn_northbound_m,distance_follower_left_turn_to_right_turn_southbound_m,distance_follower_left_turn_to_right_turn_northbound_m,distance_right_turn_southbound_to_right_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005866899377940565,2.321899437901617,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.05266640257534457,6.287215822624786,40.91760012512953,True,5.5,46.0,6.0,-1.5707963267948966,-0.004210117100494479,1.959704382639524,66.0,True,16.5,-15.0,6.0,1.5707963267948966,0.01978480591651783,-0.5103602685608674,41.379342672401165,True,5.5,55.0,6.0,-1.5707963267948966,-0.020496776207846828,0.9713112214792158,41.620307543313515,True,16.5,-23.0,6.0,1.5707963267948966,-0.033208014046629285,-0.7555823778507922,40.67247226319049,42.44997055358225,12.0,50.21951811795888,21.0,58.05170109479997,54.12947441089743,8.0,62.96824596572466,16.0,61.98386886924694,9.0,69.87131027825369,70.8590149522275,8.0,78.77182237323191
1,0.1,True,5.5,33.4,6.232189943790162,-1.57044431283222,0.0009104324592377566,1.9385317032460099,61.4,True,16.5,-6.4,6.628721582262479,1.6023961683401033,0.03523714071077428,5.240401913526586,40.598152667332045,True,5.5,45.4,6.195970438263952,-1.5733223970551933,-0.0014333568170794464,1.6406330669627214,65.4,True,16.5,-14.4,5.948963973143913,1.5826672103448072,0.015981820490064295,0.0010975333669159216,40.94642841567504,True,5.5,54.4,6.097131122147921,-1.5830943925196046,-0.015430724573241765,0.9007219012226803,41.0440007796511,True,16.5,-22.4,5.92444176221492,1.550871518366919,-0.027976954245938025,-0.5771447678878451,40.11246688998322,41.29213000076407,12.0,49.0493628908674,21.0,56.87389559367285,52.955075299729295,8.0,61.78705366013175,15.999999999999998,60.80328938470352,9.0,68.6865343426206,69.67381143586161,7.999999999999998,77.58376118750624
2,0.2,True,5.500219381783296,32.77678104423371,6.426043114114763,-1.569876914030524,0.0010395668199835717,1.6110970488192407,60.77678104462965,True,16.479056830708313,-5.7374587697270885,7.152761773615137,1.6257538878527762,0.025838407990796158,4.314166926746356,40.23490469929492,True,5.498434855998762,44.78040493300651,6.360033744960225,-1.5742105007018041,-0.00013324992698287097,1.3683404368076693,64.78040495191404,True,16.49293822000112,-13.805145517961838,5.949073726480605,1.5921747377768718,0.012176071066756928,0.4271178783914684,40.516465007694805,True,5.492501897081307,53.79033299444757,6.1872033122701895,-1.592502707622885,-0.011234610959285227,0.8279974212984093,40.45698374415158,True,16.51180355568133,-21.80767341946183,5.866727285426136,1.5342967347554979,-0.02265662291218029,-0.4230751884615951,39.55644901609502,40.04848986138181,12.003624021421585,47.86142235351858,21.01355336738427,55.684087988563604,51.69747200820793,8.067698690494785,60.53315109614354,16.070248014157887,59.60826977747313,9.009930014841656,67.49271419041916,68.48473052160033,8.002550138248193,76.39688202276785
3,0.30000000000000004,True,5.50081020030641,32.1341770044253,6.587152818996687,-1.5692088839100022,0.0010877335832597146,1.3313755753949952,60.134177009883295,True,16.43976678166456,-5.023262506822388,7.584178466289773,1.64423548554954,0.0205485656469645,3.4963264068710913,39.83752724997581,True,5.496263434091419,44.144405265320096,6.496867788640992,-1.5742952481050165,0.00044936653174596793,1.1360020969075437,64.14440537415207,True,16.48022101444852,-13.210374087314777,5.991785514319751,1.5994183722243722,0.008673095482836532,0.7728792428429695,40.08675835208025,True,5.479072772563628,53.17175841778897,6.27000305440003,-1.5994537898368206,-0.007777017446124255,0.7542609265691979,39.86040958675481,True,16.533212116708548,-21.221391436171892,5.824419766579976,1.521004711972048,-0.017407997704768804,-0.28764115679638885,39.00355303344216,38.734172020592744,12.010229121539652,46.654858005754626,21.037592643638426,54.48422318125022,50.37082309899376,8.18721152630019,59.21821741303174,16.198398465356718,58.397072175893506,9.027369520421413,66.29103721200555,67.28753806289156,8.011192609131827,75.20993778639662
4,0.4,True,5.501855872754655,31.475462552498445,6.7202903765361865,-1.5684923771760735,0.0011021748575963666,1.0923444190241847,59.475462581453776,True,16.384119265233704,-4.266888932455586,7.933811106976882,1.659819884458825,0.017599225048684018,2.7740612697809737,39.414219093892946,True,5.493990235814207,43.494722463331,6.610467998331746,-1.5740033006104772,0.0006790872546187636,0.937786932126413,63.49472274774256,True,16.463073640202417,-12.611440949099347,6.069073438604049,1.6046151050122095,0.005673885128658182,1.0433825850216192,39.65524217973187,True,5.461106993785369,52.54501555678875,6.34542914705695,-1.6043299821509527,-0.004942609068593129,0.680756338106067,39.255383919693166,True,16.562200861628373,-20.63967130686464,5.795655650900337,1.5108655633792245,-0.012368021769910658,-0.1662307166394647,38.453039084333966,37.36227169508413,12.019262484545012,45.42910251484843,21.069592408770887,53.275870790182644,48.987410968528806,8.344925533029048,57.85243891814097,16.373750814481518,57.16836855810005,9.050352832077616,65.08245347809113,66.07879459019027,8.028842312772861,74.02183918543001
5,0.5,True,5.503404192430001,30.80343529847088,6.829524818438605,-1.567751683667197,0.0011005508265213653,0.8880041086727399,58.803435397007014,True,16.31358291143859,-3.4766495955422765,8.21121723395498,1.6737827771753686,0.016111868965966347,2.1346605439897233,38.97189439194126,True,5.491870279670119,42.83367906282266,6.7042466915443875,-1.573554392154004,0.0007369962663485505,0.7687130720954788,62.833679588753604,True,16.442552687532928,-12.00488063508826,6.173411697106211,1.6080586275650124,0.003273339740935372,1.2434712874208105,39.22043321405886,True,5.439832438125885,51.91082938232206,6.413504780867557,-1.6074662797155885,-0.0026309887041741625,0.6087031955453073,38.642969501621984,True,16.596913879912496,-20.06114624206646,5.77903257923639,1.5036974838531003,-0.00765072354803505,-0.055229078981026275,37.90425920117986,35.9441815079667,12.030249293379937,44.1838984570774,21.107489817099076,52.0602690396452,47.55792262841549,8.529206168631484,56.444763059820104,16.58691669528331,55.92123992669705,9.077299480558118,63.86768387452144,64.85582348499167,8.057744281614593,72.8316259709766
6,0.6000000000000001,True,5.505483535797854,30.120485982058714,6.9183252293058795,-1.567000059748829,0.0010859255342850782,0.7132310632614087,58.12048624073828,True,16.22916790519928,-2.659878519074941,8.424683288353952,1.6870125827878253,0.015617777635337084,1.5663270002367113,38.51632439357121,True,5.490021206958527,42.16325694360153,6.781117998753936,-1.5730602916759693,0.0007151537857199005,0.6245239925325399,62.16325774452731,True,16.419554458144958,-11.3879679984332,6.297758825848292,1.6100793949495418,0.0014802437490670556,1.378102264904763,38.78138639458112,True,5.416319416718544,51.26991006324484,6.474375100422088,-1.6091536655788514,-0.0007558119736918872,0.539179550298081,38.024186053358385,True,16.635661429349156,-19.484543429957977,5.773509671338288,1.4992761057892177,-0.003348811549285738,0.04809985943897226,37.3566320503461,34.48984927890709,12.04278088797567,42.91932776673742,21.149612034408268,50.83836939663918,46.09167760574333,8.730165691395948,55.00308890388384,16.829574752461056,54.65517715533628,9.106951355716898,62.647239259724884,63.61667127859638,8.099458990659418,71.63844166589736
7,0.7000000000000001,True,5.508109910497646,29.428658444343974,6.989648335632021,-1.5662487811467298,0.0010531327675596717,0.5636524988341979,57.42865901697313,True,16.131479637068793,-1.823093070252861,8.581315988377623,1.7001700658123906,0.015853426567449258,1.058491278635458,38.05225831230035,True,5.48848598696964,41.48514688156895,6.84357039800719,-1.572575337455147,0.0006609418703767445,0.5015824218547352,61.48514795965449,True,16.394821291575916,-10.758677975663915,6.435569052338768,1.611011616763051,0.00024579574594302695,1.4527047462261973,38.337649474563335,True,5.391491526001955,50.62294877750031,6.528293055451896,-1.6096430066011587,0.0007562701036240977,0.4730531228144227,37.40000747047232,True,16.676918504482177,-18.908668449600402,5.778319657282185,1.4973426662024887,0.0004648577754026278,0.14572259929690326,36.80962455054616,33.00799838035523,12.056504407800556,41.63583184265437,21.194611168259883,49.61088042618375,44.59682681044276,8.939464549334508,53.53442490698984,17.094279440837866,53.37007949675289,9.13831666198678,61.42144537907194,62.360062289856096,8.154871155498716,70.44151230845813
8,0.8,True,5.511288474029172,28.729700838124604,7.046013585515441,-1.5655126783771325,0.000991696744469322,0.43554081582848636,56.729701961254484,True,16.0207693843576,-0.9721329766712181,8.68716511624117,1.713774392099773,0.016665017012973987,0.6019036034332106,37.58353071929395,True,5.487268509142613,40.80079092472153,6.893728640192663,-1.5721230172332556,0.0005987350901707534,0.39677964153958717,60.800792257688215,True,16.368947439502552,-10.115641402790263,6.5808395269613875,1.6111698003126298,-0.0005088053673707265,1.4734054874871374,37.889215113258956,True,5.3661376528959295,49.97061199078877,6.575598367733338,-1.6091492913146053,0.0019669076538560678,0.41095833410118654,36.77135825822698,True,16.719324220637112,-18.33239461204162,5.792891917211875,1.4976112758846336,0.0037361728821034405,0.23893205407381674,36.26273888288284,31.506318746662647,12.071113984941563,40.334220855550555,21.241407094546457,48.378310155045696,43.08052706223201,9.15013520646523,52.04502322175234,17.37431042970635,52.06624642996197,9.170621084093787,60.19047023600473,61.08534742536572,8.224220156981493,69.24012966646026
9,0.9,True,5.515011322560624,28.025109314707315,7.089567667098289,-1.5648139275037083,0.0008876005921657358,0.32572520349220224,56.0251113257681,True,15.896984735565859,-0.11228081595294681,8.747355476584492,1.7282515675454404,0.017960226591018185,0.18863025154407778,37.11315946700583,True,5.4863539250237485,40.111418667387355,6.933406604346621,-1.5717102655093558,0.0005408571290243057,0.3074581530174081,60.11142021630572,True,16.34238552190292,-9.458093721378791,6.728180075710101,1.6108349636653174,-0.0008707904573031435,1.4469683797823671,37.43646839054027,True,5.340924466089888,49.31353571352071,6.616694201143457,-1.6078559318387875,0.0029274811667019413,0.3533046000005833,36.139110405606516,True,16.761681694514458,-17.754656079440828,5.816785122619257,1.499775600453638,0.006429008076331487,0.3284279942353435,35.715503679085565,29.99163375532125,12.086343326875776,39.01567046581461,21.289138187613204,47.14100671388582,41.54909426208325,9.356420294305615,50.54049611962669,17.663553033536147,50.744359100223924,9.203266151658541,58.95435202692804,59.792445775329476,8.307150910003898,68.03363907691609
