step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,right_turn_northbound_active,right_turn_northbound_x_m,right_turn_northbound_y_m,right_turn_northbound_speed_mps,right_turn_northbound_heading_rad,right_turn_northbound_kappa_radpm,right_turn_northbound_a_mps2,right_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_through_southbound_to_right_turn_southbound_m,distance_through_southbound_to_right_turn_northbound_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_left_turn_northbound_to_right_turn_southbound_m,distance_left_turn_northbound_to_right_turn_northbound_m,distance_follower_southbound_to_follower_left_turn_m,distance_follower_southbound_to_right_turn_southbound_m,distance_follower_southbound_to_right_turn_northbound_m,distance_follower_left_turn_to_right_turn_southbound_m,distance_follower_left_turn_to_right_turn_northbound_m,distance_right_turn_southbound_to_right_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0006333717340121439,2.0705020962921847,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.04697010077162333,5.2833378391142345,40.91760012512953,True,5.5,46.0,6.0,-1.5707963267948966,-0.0038981803586645345,1.75029130085342,66.0,True,16.5,-15.0,6.0,1.5707963267948966,0.014984762497323017,-0.09100530419938163,41.379342672401165,True,5.5,55.0,6.0,-1.5707963267948966,-0.01862291813075713,0.09830439898767798,41.620307543313515,True,16.5,-23.0,6.0,1.5707963267948966,-0.02723448946311819,-0.5237327639302906,40.67247226319049,42.44997055358225,12.0,50.21951811795888,21.0,58.05170109479997,54.12947441089743,8.0,62.96824596572466,16.0,61.98386886924694,9.0,69.87131027825369,70.8590149522275,8.0,78.77182237323191
1,0.1,True,5.5,33.4,6.207050209629219,-1.5704163037544894,0.0009114549087445867,1.757888911994247,61.4,True,16.5,-6.4,6.528333783911424,1.5989783872578704,0.03350583262243805,4.457889282230767,40.598152667332045,True,5.5,45.4,6.175029130085342,-1.5731352350100953,-0.0014732377686018851,1.4901546919094246,65.4,True,16.5,-14.4,5.990899469580062,1.5797871842932905,0.011964242047892053,0.29550639412648555,40.94642841567504,True,5.5,54.4,6.009830439898768,-1.5819700776733507,-0.015092304295421502,0.1365406951059314,41.0440007796511,True,16.5,-22.4,5.947626723606971,1.5544556331170256,-0.022805264286401006,-0.390470293040495,40.11246688998322,41.29213000076407,12.0,49.0493628908674,21.0,56.87389559367285,52.955075299729295,8.0,61.78705366013175,15.999999999999998,60.80328938470352,9.0,68.6865343426206,69.67381143586161,7.999999999999998,77.58376118750624
2,0.2,True,5.500235882203585,32.779295023857415,6.382839100828643,-1.5698505591162504,0.001032600678483355,1.4864094695125343,60.77929502431514,True,16.48160424555576,-5.747425853898563,6.9741227121345,1.6208521131645848,0.025760159694533602,3.7135243412837253,40.242225471637965,True,5.498555718680677,44.78249877601296,6.324044599276284,-1.5740449636237612,-0.0002517959723287275,1.2644371831966594,64.78249879211259,True,16.494613740225716,-13.800934266752146,6.02045010899271,1.5869548414271548,0.009129010376926445,0.6230431660688841,40.514649533748134,True,5.493284904919286,53.79905447280024,6.023484509409362,-1.5910402966496346,-0.01192272366739878,0.15825714236369698,40.465568399430225,True,16.50971840212812,-21.805316732122286,5.908579694302921,1.5408919131861538,-0.01842323155957522,-0.2716599469980122,39.55501991577637,40.06118661153399,12.003203869747042,47.860151538108695,21.01976059824437,55.68382660977567,51.70977313862663,8.053518920500217,60.55184952773725,16.057915489338598,59.606475479509164,9.016557237368648,67.49209492812327,68.48932554588455,8.004396716975998,76.40276665337548
3,0.30000000000000004,True,5.500839550405547,32.14101139923951,6.531480047779897,-1.5691914667176339,0.001082576723575559,1.250607108852742,60.14101140509945,True,16.4467093021793,-5.05088711199984,7.3454751462628725,1.6388175646439707,0.02119764749336998,3.0439416802410992,39.85741908010361,True,5.4965012698750755,44.15009765316729,6.45048831759595,-1.5742042005196537,0.000341565150235623,1.0686129281091221,64.15009774857722,True,16.484886010435194,-13.198967850395032,6.082754425599599,1.592450916579031,0.006636601936972534,0.8928277154577491,40.08204733861656,True,5.481091813901547,53.1968294443579,6.039310223645732,-1.5982219307816892,-0.009125258657380224,0.1660106780076704,39.88500029886679,True,16.527385029821072,-21.214722937450137,5.8814136996031205,1.5300063999965192,-0.014185957770705514,-0.16398395924275008,38.999522324142944,38.769180794712746,12.009087037529339,46.651505816997805,21.055827305575775,54.48320008788968,50.40480094011828,8.14817017375435,59.27091403824489,16.164037155523403,58.39229327007509,9.04674491477859,66.28906521719132,67.30145158260399,8.015867749800925,75.22698798757419
4,0.4,True,5.501887761113001,31.487864235577458,6.656540758665171,-1.5684843838906115,0.0010995136832558103,1.0457420499205279,59.48786426553014,True,16.396782992348978,-4.318038277088859,7.649869314286982,1.6543882439261497,0.01856848174060218,2.441597902499225,39.4502887581044,True,5.494303029165058,43.5050525670747,6.557349610406862,-1.5739838743185244,0.0006041746351677229,0.8987486724778313,63.5050528226093,True,16.471715084661625,-12.590835018905247,6.172037197145373,1.5964877985593373,0.00457857848341553,1.1061680989928062,39.64710250324223,True,5.464530717138488,52.59312553526974,6.055911291446499,-1.603732957571982,-0.006692739755029547,0.16234939965680295,39.30239880814862,True,16.551368621235277,-20.627070779790806,5.865015303678845,1.5216630513590574,-0.010176383813815226,-0.06479863425615408,38.445430431556474,37.42674707807469,12.01719072507515,45.423219166805076,21.105294361297673,53.27342188121827,49.05009772912534,8.273136089166321,57.951658356650675,16.30976510838972,57.159882605679485,9.088121734759106,65.07832161699406,66.10678347362611,8.036630506028294,74.05481161361308
5,0.5,True,5.5034267139594375,30.82221193869729,6.761114963657224,-1.5677524881258813,0.001098417547790336,0.8676980676116982,58.82221203850966,True,16.33291071460235,-3.5557225043331373,7.894029104536904,1.6685928897941829,0.017209050974860553,1.8987416767989467,39.02644738884994,True,5.492212846353377,42.849320937315355,6.647224477654645,-1.573587695887671,0.0006940006094781738,0.7514266764788123,62.84932141973713,True,16.455859957058706,-11.973834981175786,6.282654007044654,1.5993137142303062,0.0029864943726380312,1.264651780359752,39.20872019701025,True,5.44458819185289,51.987862855614104,6.072146231412179,-1.6077860213973016,-0.004605280739806305,0.14967122023472426,38.71796220756996,True,16.58017376955598,-20.04127703745986,5.85853544025323,1.5156945866786438,-0.006463672941478381,0.027935870522413128,37.89224834886699,36.04330867566792,12.027114226424654,44.17530334827961,21.16573269954209,52.05563212718992,47.654472897010855,8.419010285597379,56.60075478292811,16.487408749801773,55.908675380760606,9.138666013167331,63.860552699293706,64.9025954492733,8.068399795218294,72.88482873612566
6,0.6000000000000001,True,5.5054846850988035,30.14610357440005,6.8478847704183945,-1.5670098353940105,0.00108199062019272,0.7129020705320304,58.14610383307405,True,16.25583282468244,-2.7700915770407786,8.0839032722168,1.6821777647198837,0.016747043156277595,1.407983685312215,38.59064960802042,True,5.4903573630669875,42.18460107922092,6.722367145302527,-1.5731263781037879,0.0006966547804604778,0.6236770766313448,62.184601826837245,True,16.437945897520713,-11.345825028871516,6.409119185080629,1.6011900253140332,0.0018459744322925694,1.3704571859183818,38.76621290921036,True,5.422132629959317,51.38106359202146,6.087113353435652,-1.6105824152061827,-0.0028352595666489753,0.13012603961968566,38.131966929376865,True,16.612438986215068,-19.456312653209867,5.861329027305471,1.511907820978458,-0.0031040092933003207,0.11572157291693429,37.33951517603214,34.6272419977391,12.038507009154005,42.908027773134656,21.235123604892813,50.83074000508103,46.22574881744582,8.577666897714515,55.224239841332356,16.690031208995165,54.6384133557486,9.196715574788279,62.63627499621081,63.68681730157109,8.112364472984904,71.7158059959959
7,0.7000000000000001,True,5.508077624582485,29.461320006435606,6.919174977471598,-1.5662689006850352,0.0010456178227275703,0.5782549449850694,57.4613205741916,True,16.16597920159516,-1.9667104423583268,8.224701640748021,1.6957159124169825,0.016965361978352463,0.9625656034069994,38.146866162748736,True,5.4887910184477295,41.512366189523156,6.784734852965661,-1.5726580611830092,0.0006590757139784534,0.5129188848312373,61.51236721079152,True,16.418469212900725,-10.705209117391089,6.546164903672467,1.6023731323289507,0.001113334962355147,1.4266489553105985,38.31927932742723,True,5.397920775757373,50.77283396770853,6.10012595739762,-1.6123082698430433,-0.0013512516398917682,0.10556578496436586,37.54474994046016,True,16.64693553082158,-18.871195769097344,5.872901184597165,1.5100884590012733,-0.00014121670325318005,0.19958190164143988,36.78679603451366,33.18602060982316,12.051061616309378,41.62194981576023,21.311798653630195,49.599458027760015,44.770888446169636,8.742145634760291,53.827600976113274,16.911325883932275,53.34916153387569,9.260913608916571,61.40585268335242,62.45800404614918,8.169182018676597,70.54665981420207
8,0.8,True,5.511210219225858,28.76940959999595,6.977000471970105,-1.5655454194175338,0.0009798897128927553,0.4610724209763144,56.769410706833376,True,16.063503575895883,-1.150649221045383,8.320958201088722,1.7096694164669064,0.017734496345246112,0.5564903717470207,37.69835203462249,True,5.487527881758414,40.83389388003943,6.8360267414487845,-1.572210895786272,0.0006070616671760018,0.41690864169016406,60.83389515855148,True,16.397801950220753,-10.050918957206749,6.688829799203527,1.603101939754611,0.0007308405969128063,1.437292800361261,37.8679771865953,True,5.37260523988304,50.16334689597972,6.110682535894057,-1.6131325503633913,-0.00012082539083512775,0.07753439349110765,36.95669242328407,True,16.682566766114594,-18.28498753108638,5.892859374761309,1.5100055238268912,0.00239280682498567,0.2801119807805469,36.23367617771266,31.726342602635363,12.06450752399468,40.31793383603051,21.394386281564238,48.362335515019566,43.29610977085395,8.906545726571338,52.415851655096,17.145518031148033,52.04131299007103,9.330160812668394,60.169519151518934,61.215298535087285,8.23899121735927,69.37643487211145
9,0.9,True,5.514873760715606,28.071719171279558,7.023107714067737,-1.5648617503186006,0.000872293667714776,0.3590350801237249,56.07172114400981,True,15.948318929945474,-0.32656430358848887,8.376607238263423,1.7244262167475217,0.018976579956856757,0.18456062932445655,37.24771041985436,True,5.486560878935643,40.15029188984077,6.877717605617801,-1.5717959068072196,0.0005546730738805514,0.33369591083409295,60.15029339116327,True,16.376197034018325,-9.382384987671156,6.832559079239653,1.6035907865909207,0.0006384707497827457,1.4072990593583086,37.41268843320996,True,5.34674264512804,49.55282618647238,6.118435975243168,-1.6132063829239582,0.0008876496146430584,0.04728384501517401,36.36820542901916,True,16.718367871293818,-17.696790117818463,5.920870572839363,1.5114155712399522,0.004477771789719808,0.35751848690130994,35.67975757020168,30.254244039775468,12.078605902042089,38.99715709634122,21.48176498033146,47.119791201065524,41.80698827733735,9.065923446301785,50.993597788181,17.387286165742285,50.71558196690726,9.403573806688536,58.92739927329595,59.95838540402421,8.32144299686669,68.20428691335105
