step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,right_turn_northbound_active,right_turn_northbound_x_m,right_turn_northbound_y_m,right_turn_northbound_speed_mps,right_turn_northbound_heading_rad,right_turn_northbound_kappa_radpm,right_turn_northbound_a_mps2,right_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_through_southbound_to_right_turn_southbound_m,distance_through_southbound_to_right_turn_northbound_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_left_turn_northbound_to_right_turn_southbound_m,distance_left_turn_northbound_to_right_turn_northbound_m,distance_follower_southbound_to_follower_left_turn_m,distance_follower_southbound_to_right_turn_southbound_m,distance_follower_southbound_to_right_turn_northbound_m,distance_follower_left_turn_to_right_turn_southbound_m,distance_follower_left_turn_to_right_turn_northbound_m,distance_right_turn_southbound_to_right_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005866890701533349,2.321898453524231,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.05202652860670716,5.972660418318712,40.91760012512953,True,5.5,46.0,6.0,-1.5707963267948966,-0.00425020720933503,1.8538480679332,66.0,True,16.5,-15.0,6.0,1.5707963267948966,0.018075122787708273,-1.336482098964139,41.379342672401165,True,5.5,55.0,6.0,-1.5707963267948966,-0.020484275025942616,-0.537884374049629,41.620307543313515,True,16.5,-23.0,6.0,1.5707963267948966,-0.03517991280881676,-1.5466564466439607,40.67247226319049,42.44997055358225,12.0,50.21951811795888,21.0,58.05170109479997,54.12947441089743,8.0,62.96824596572466,16.0,61.98386886924694,9.0,69.87131027825369,70.8590149522275,8.0,78.77182237323191
1,0.1,True,5.5,33.4,6.232189845352423,-1.5704443133528045,0.0009104321867716839,1.938530863526011,61.4,True,16.5,-6.4,6.597266041831872,1.6020122439589208,0.03511502987848434,4.972645440073912,40.598152667332045,True,5.5,45.4,6.18538480679332,-1.5733464511204975,-0.0014727243393729648,1.5521230816551461,65.4,True,16.5,-14.4,5.866351790103586,1.5816414004675214,0.014933493252034868,-0.6193633957899186,40.94642841567504,True,5.5,54.4,5.946211562595037,-1.5830868918104621,-0.016881401539418174,-0.3642640316978772,41.0440007796511,True,16.5,-22.4,5.845334355335604,1.5496883791096066,-0.03102191945788306,-1.2130030959891602,40.11246688998322,41.29213000076407,12.0,49.0493628908674,21.0,56.87389559367285,52.955075299729295,8.0,61.78705366013175,15.999999999999998,60.80328938470352,9.0,68.6865343426206,69.67381143586161,7.999999999999998,77.58376118750624
2,0.2,True,5.500219381455393,32.77678105407737,6.426042931705024,-1.5698769147298766,0.0010395668462674704,1.6110963327692034,60.77678105447331,True,16.47940937338579,-5.740594799563491,7.094530585839263,1.6251785633764444,0.025829332222890456,4.085920796967756,40.23682322670621,True,5.498422651683718,44.781463530538915,6.340597114958835,-1.5742573877958328,-0.0001512982631937256,1.2946500141119848,64.78146354974214,True,16.493638022977706,-13.813399319382526,5.804415450524594,1.590401912954679,0.011449080170633586,-0.018964779309495857,40.52282551997916,True,5.492691954012392,53.80542375431301,5.909785159425249,-1.5931249303131119,-0.013432504145281849,-0.23017191277573215,40.47150702780441,True,16.51233738498562,-21.81559677773956,5.724034045736688,1.5315550299520448,-0.02619697564178543,-0.9283647648941872,39.56362640289174,40.05160240901156,12.00468261091899,47.86961625769835,21.02864404749716,55.69196046338764,51.70164840014743,8.072817059099002,60.55110474030814,16.075035702987176,59.617553735978156,9.023962043423767,67.50166486433446,68.50785391678842,8.002219306459633,76.4197051272346
3,0.30000000000000004,True,5.50081019951233,32.13417703250951,6.5871525649819445,-1.5692088846114274,0.0010877337487992845,1.3313749650704447,60.1341770379675,True,16.44084674356869,-5.0321905605052555,7.503122665536039,1.6435032621231545,0.020523922017267843,3.301863522204669,39.84294897552617,True,5.496228136725329,44.14740761672189,6.470062116370034,-1.5743533199289432,0.00044955944122821963,1.074967790845007,64.14740772761455,True,16.482258855273688,-13.233069325529675,5.802518972593645,1.597047434738351,0.008026864813687746,0.47326492107179524,40.1041802439469,True,5.479497325505942,53.21459255330531,5.886767968147676,-1.6010632516782823,-0.010248955543335436,-0.12968625173645762,39.90155313846111,True,16.534793472585097,-21.24363403271393,5.631197569247269,1.5165597919051534,-0.020962814267476124,-0.6835489264051724,39.02362371407948,38.74304169324328,12.013231458053037,46.67739556455719,21.080426294740974,54.50632533004899,50.382710857225476,8.200983324066957,59.26920721734138,16.21171568466799,58.42270111069114,9.067200372455066,66.31619902159875,67.35245007009705,8.010736970716367,75.27447827274929
4,0.4,True,5.501855871458212,31.47546260598337,6.720290061488989,-1.5684923777960853,0.0011021750700802053,1.0923438990156056,59.47546263493866,True,16.38634188924919,-4.283860607746169,7.8333090177565055,1.6589026125705002,0.017518653237209088,2.6084246678880283,39.42445673009735,True,5.493926744925803,43.500405498106616,6.577558895454534,-1.5740624521779685,0.0006902250229327636,0.8875564940503833,63.50040578853332,True,16.46702834950104,-12.653017348576746,5.849845464700825,1.6017050382755378,0.004981271620976784,0.8658939967200063,39.68703908749029,True,5.461682609377763,52.626185375411154,5.87379934297403,-1.60709657399823,-0.00739773465567209,-0.05726704692026746,39.33319201568717,True,16.565320165562095,-20.68134230980237,5.562842676606752,1.5047552170303942,-0.015571744353871387,-0.47083657775343485,38.490494553227315,37.37915505432758,12.024945506316149,45.47040521672577,21.15076092154079,53.31728182503534,49.01000708989172,8.369545678079419,57.94912867495388,16.39845844561799,57.215521112917884,9.125836841259746,65.12965917270364,66.20039231861968,8.028926638358518,74.14367391961
5,0.5,True,5.503404190644307,30.80343538345948,6.82952445139055,-1.5677516841791372,0.0011005510834846961,0.8880036659544068,58.80343548199551,True,16.31741477074903,-3.5035681279593143,8.094151484545309,1.6726255150086982,0.01596532334749253,1.9935771320593585,38.9880364985678,True,5.49177843553864,42.842653116888194,6.666314544859572,-1.5736084526040228,0.0007529095917548032,0.72770086249153,62.84265365469268,True,16.44895010975746,-12.06831221189965,5.936434864372825,1.604619005195579,0.0024984907615214365,1.1672162166302988,39.26876988585643,True,5.440365254954871,52.03919239622347,5.868072638282003,-1.6114418548942282,-0.004908821649827421,-0.007902770223304862,38.765754610625564,True,16.602031097009817,-20.126270698243093,5.5157590188314085,1.4960929006263015,-0.010254965687358746,-0.28386248134414627,37.96256579444708,35.97100658529197,12.039223346673415,44.24694020322305,21.235850578975352,52.124989024222465,47.593766668951325,8.565754068895457,56.597777808106166,16.625139012750935,55.993515021274064,9.19668299070346,63.94155988586403,65.04583835716099,8.059412432447694,73.02353626063662
6,0.6000000000000001,True,5.505483533550779,30.12048610375088,6.918324817985991,-1.5670000601256708,0.001085925818159395,0.713230686617527,58.120486362430235,True,16.23513505104795,-2.6983458417093726,8.293509197751245,1.6855480895761334,0.015405669392833572,1.4461051074171967,38.53927759437433,True,5.48990378649111,42.176024298278456,6.739084631108725,-1.5731065393877748,0.0007317348354660817,0.5913728207738289,62.17602511799576,True,16.428875325045798,-11.475008249323812,6.053156486035855,1.60610221796208,0.0006431888506008881,1.3852797318355579,38.84748401182195,True,5.416520730516378,51.45286978576414,5.867282361259672,-1.6143223870951842,-0.0027845331869846036,0.0228104282602673,38.198804447367024,True,16.643197392944398,-19.576233143509576,5.487372770696994,1.4904365086785158,-0.005212563715277461,-0.11749175750723916,37.43839846323943,34.52826598529518,12.055548261619279,43.00587911794351,21.33256918275315,50.92948629187965,46.14292026291186,8.778800505251345,55.22134161490051,16.88281951118185,54.75485724340068,9.277135725620692,62.75139247402098,63.88419043640264,8.104059398533767,71.91085962370403
7,0.7000000000000001,True,5.508109907833714,29.428658607166845,6.989647886647743,-1.5662487813718444,0.0010531330731623594,0.5636521786131712,57.42865917979562,True,16.140174298329406,-1.8744493654607042,8.438119708492964,1.6983247956568315,0.015579450439259958,0.9559190276383345,38.08278538273965,True,5.488346916058043,41.50211763351923,6.798221913186108,-1.572613417089401,0.0006758399567220275,0.4751308735612928,61.50211873750044,True,16.407508556247443,-10.870069826312431,6.1916844592194105,1.606491550238356,-0.0006094786656258859,1.5281181642752366,38.421960584951314,True,5.390990824856949,50.86669724547885,5.869563404085699,-1.615956151340418,-0.001008471028755842,0.038650906874048624,37.632095919186,True,16.687246375792267,-19.02926670362872,5.47562359494627,1.4875761806588421,-0.0006081476686363506,0.03230788498119807,36.916742931818426,33.059421682020165,12.073475201318539,41.746669379153516,21.438358555107616,49.73071101035941,44.665288437428686,8.999591939702091,53.82539819809041,17.16353826470083,53.49835614532779,9.365085665236803,61.558621158053526,62.711977096904334,8.163990870309178,70.8029036540662
8,0.8,True,5.511288471003717,28.729701045844724,7.04601310450906,-1.5655126784359257,0.0009916970768122978,0.4355405440064043,56.729702168974,True,16.03285569876974,-1.037489772447322,8.533711611256798,1.7114709224367324,0.01633359749472511,0.5141468320581484,37.62228522052636,True,5.487111618431997,40.822296564524585,6.845735000542237,-1.5721539660890416,0.0006108285465590603,0.37603409253931075,60.8222979300631,True,16.385411893325486,-10.25129579493013,6.344496275646934,1.606114180280138,-0.0013357705862861152,1.6039724738342243,37.99157206114009,True,5.364492988309357,50.28033932560046,5.873428494773104,-1.6165480798048646,0.0004470794402055759,0.04279932210845313,37.065537144507196,True,16.732762015756915,-18.483599347033213,5.478854383444389,1.4872431818864824,0.003433087191855799,0.16859422863381085,36.396504020739016,31.57196582636264,12.092619687172691,40.4693053424986,21.551138233945156,48.5285194757034,43.16774757136303,9.220548643668666,52.41501260381782,17.460143416965852,52.22341223418377,9.45883757122369,60.36268667588763,61.526738121535374,8.239628261124539,69.69732277823982
9,0.9,True,5.515011319239599,28.025109570527185,7.089567158909701,-1.5648139273760333,0.0008876009606035829,0.3257249730868398,56.025111581587076,True,15.913203608131518,-0.19254852250926036,8.585126294462613,1.7254095434961654,0.01757579887379372,0.1131517744224199,37.160717290916,True,5.486182214834103,40.13772369536788,6.883338409796168,-1.5717358090529905,0.000549794696767393,0.29156879054283885,60.13772528281726,True,16.363009152359286,-9.617241816853989,6.504893523030357,1.6052667011291568,-0.0016312623749731039,1.621322565512642,37.5562096442956,True,5.3376303971821955,49.6936110886542,5.877708426983949,-1.6162854908925115,0.001615608304248334,0.037893002825503654,36.49915770800608,True,16.778486322611023,-17.937625225565363,5.49571380630777,1.489124120367467,0.006823923376368868,0.29357295227423735,35.87671399077627,30.072556112380546,12.112648432714918,39.174298653051174,21.66922753659167,47.32270976061609,41.656375650125334,9.435420961466665,50.994820026063685,17.76616056927668,50.929971110842594,9.557041985661467,59.163014496817674,60.3269114829687,8.33075034717521,68.59210821731777
