step,time_s,through_southbound_active,through_southbound_x_m,through_southbound_y_m,through_southbound_speed_mps,through_southbound_heading_rad,through_southbound_kappa_radpm,through_southbound_a_mps2,through_southbound_distance_to_destination_m,left_turn_northbound_active,left_turn_northbound_x_m,left_turn_northbound_y_m,left_turn_northbound_speed_mps,left_turn_northbound_heading_rad,left_turn_northbound_kappa_radpm,left_turn_northbound_a_mps2,left_turn_northbound_distance_to_destination_m,follower_southbound_active,follower_southbound_x_m,follower_southbound_y_m,follower_southbound_speed_mps,follower_southbound_heading_rad,follower_southbound_kappa_radpm,follower_southbound_a_mps2,follower_southbound_distance_to_destination_m,follower_left_turn_active,follower_left_turn_x_m,follower_left_turn_y_m,follower_left_turn_speed_mps,follower_left_turn_heading_rad,follower_left_turn_kappa_radpm,follower_left_turn_a_mps2,follower_left_turn_distance_to_destination_m,right_turn_southbound_active,right_turn_southbound_x_m,right_turn_southbound_y_m,right_turn_southbound_speed_mps,right_turn_southbound_heading_rad,right_turn_southbound_kappa_radpm,right_turn_southbound_a_mps2,right_turn_southbound_distance_to_destination_m,right_turn_northbound_active,right_turn_northbound_x_m,right_turn_northbound_y_m,right_turn_northbound_speed_mps,right_turn_northbound_heading_rad,right_turn_northbound_kappa_radpm,right_turn_northbound_a_mps2,right_turn_northbound_distance_to_destination_m,distance_through_southbound_to_left_turn_northbound_m,distance_through_southbound_to_follower_southbound_m,distance_through_southbound_to_follower_left_turn_m,distance_through_southbound_to_right_turn_southbound_m,distance_through_southbound_to_right_turn_northbound_m,distance_left_turn_northbound_to_follower_southbound_m,distance_left_turn_northbound_to_follower_left_turn_m,distance_left_turn_northbound_to_right_turn_southbound_m,distance_left_turn_northbound_to_right_turn_northbound_m,distance_follower_southbound_to_follower_left_turn_m,distance_follower_southbound_to_right_turn_southbound_m,distance_follower_southbound_to_right_turn_northbound_m,distance_follower_left_turn_to_right_turn_southbound_m,distance_follower_left_turn_to_right_turn_northbound_m,distance_right_turn_southbound_to_right_turn_northbound_m
0,0.0,True,5.5,34.0,6.0,-1.5707963267948966,0.0005866880819697648,2.3218973177028293,62.0,True,16.5,-7.0,6.0,1.5707963267948966,0.05072066648507034,5.919999218440036,40.91760012512953,True,5.5,46.0,6.0,-1.5707963267948966,-0.004166529987513888,2.075394369956184,66.0,True,16.5,-15.0,6.0,1.5707963267948966,0.017564836080284925,1.0334109254336186,41.379342672401165,True,5.5,55.0,6.0,-1.5707963267948966,-0.020508191130522692,0.8681176385667574,41.620307543313515,True,16.5,-23.0,6.0,1.5707963267948966,-0.030099145991434106,0.49712110309255536,40.67247226319049,42.44997055358225,12.0,50.21951811795888,21.0,58.05170109479997,54.12947441089743,8.0,62.96824596572466,16.0,61.98386886924694,9.0,69.87131027825369,70.8590149522275,8.0,78.77182237323191
1,0.1,True,5.5,33.4,6.232189731770283,-1.5704443139457147,0.000910431885402811,1.938529894775429,61.4,True,16.5,-6.4,6.591999921844003,1.6012287266859389,0.034611282478412296,4.930490196518413,40.598152667332045,True,5.5,45.4,6.207539436995618,-1.5732962447874048,-0.0013913273061774824,1.7375209765731017,65.4,True,16.5,-14.4,6.103341092543362,1.5813352284430675,0.013187304322568528,1.2282060751460502,40.94642841567504,True,5.5,54.4,6.086811763856676,-1.5831012414732102,-0.015747185533005394,0.7703290496075723,41.0440007796511,True,16.5,-22.4,6.0497121103092555,1.552736839200036,-0.02353868119001711,0.4530888357044013,40.11246688998322,41.29213000076407,12.0,49.0493628908674,21.0,56.87389559367285,52.955075299729295,8.0,61.78705366013175,15.999999999999998,60.80328938470352,9.0,68.6865343426206,69.67381143586161,7.999999999999998,77.58376118750624
2,0.2,True,5.500219381081881,32.77678106543545,6.426042721247826,-1.5698769155209464,0.0010395668589212434,1.6110955067617931,60.77678106583139,True,16.47994205861099,-5.741105237019486,7.085048941495844,1.6240444838252004,0.025786259424860878,4.054151634399186,40.23754280293825,True,5.4984481676636126,44.77924799602824,6.381291534652928,-1.5741599166996914,-0.0001142561006859417,1.4491633605018412,64.77924801461585,True,16.49356786791941,-13.789699784863071,6.2261617000579665,1.5893838900802482,0.009534352699881066,1.3890557296846326,40.505928251877826,True,5.492510419062348,53.791364903522954,6.163844668817433,-1.5926862568882032,-0.011810930134206126,0.6740659088048725,40.45797556490597,True,16.51092487620914,-21.7951274404835,6.095020993879696,1.5384966147344405,-0.017778566958628467,0.4198118834134957,39.54509705771724,40.052239329209705,12.002467061282463,47.846534354478294,21.01458525206015,55.671616048744404,51.70008993095496,8.048606081692457,60.537910891179024,16.054052100460552,59.59206575865386,9.012118863575344,67.47904940066861,68.47060368807091,8.005446471940786,76.3853603907189
3,0.30000000000000004,True,5.5008101986111235,32.13417706491283,6.587152271924005,-1.5692088854162443,0.0010877339260641488,1.331374261145992,60.13417707037081,True,16.44223330433502,-5.03360454098812,7.4904641049357625,1.6423141748295251,0.02078810289607508,3.280120029305023,39.84485846247849,True,5.496301766932369,44.141122452372265,6.526207870703113,-1.5742328268485004,0.0004490605883840075,1.2031027877332314,64.14112255898816,True,16.48199561684779,-13.167191167928475,6.36506727302643,1.5953201322417325,0.006612814456057136,1.514267029891398,40.057642624207986,True,5.479018883686283,53.17512810692096,6.2312512596979195,-1.5999663307623533,-0.00856860210939233,0.5798477535669987,39.863621016057394,True,16.530608195595637,-21.185943251509205,6.137002182221045,1.527660540849047,-0.012721834905202312,0.39794583595659233,38.971602330296975,38.744789702389895,12.006946233884348,46.61330708024456,21.040962326224268,54.4489823083224,50.37824125644952,8.133683818506801,59.232158722343364,16.15258047312575,58.351763292695935,9.034022186405736,66.25240698903616,67.24856001251293,8.018899435754435,75.17783290234331
4,0.4,True,5.50185586998034,31.47546266769161,6.720289698038604,-1.568492378516012,0.0011021753335399378,1.0923432995229172,59.47546269664686,True,16.388708772123188,-4.286472926394803,7.818476107866265,1.6578854286848013,0.0180179610145122,2.596268623557496,39.42779893621329,True,5.494059039976885,43.4885055188714,6.646518149476436,-1.573939760573867,0.0006673767197441049,0.9931705306858882,63.48850579683515,True,16.46638761429803,-12.53087583402717,6.516493976015569,1.599529233129417,0.004383500131231238,1.60188043734495,39.601570019332335,True,5.460844898886423,52.55226806735239,6.2892360350546195,-1.6053056420311533,-0.005909368136324605,0.4884063155677323,39.262243985776266,True,16.557072428079806,-20.572813899541057,6.176796765816705,1.5198531479915387,-0.00829664406834283,0.3875373181234054,38.39301037401358,37.38234347320243,12.01304538136937,45.351723062084496,21.07684529892744,53.20940618692918,49.00144853197511,8.24476884490394,57.87970876383424,16.28721119818336,57.08382504268914,9.063823404855974,65.00956014966731,66.00710257652905,8.042449352343592,73.96217869995796
5,0.5,True,5.503404188598887,30.803435481511546,6.829524027990896,-1.56775168476207,0.0011005513748895792,0.8880031557092749,58.80343558004745,True,16.32070440533027,-3.5075884082601503,8.078102970222014,1.6719727284552441,0.0166671813972509,1.9906839196872954,38.99284010645573,True,5.491969754451294,42.823856987691805,6.745835202545025,-1.5734961874258353,0.0007203956726558304,0.8140956124471803,62.823857500911195,True,16.447666409417025,-11.879495412244111,6.676682019750064,1.6023857383493203,0.0027773200760816286,1.65027910541131,39.137922757324844,True,5.43914548353839,51.923718916991135,6.338076666611393,-1.609022183133891,-0.0037389293313000995,0.4005255431012563,38.65507816645215,True,16.588525385675158,-19.955935553089713,6.215550497629045,1.5147284795666915,-0.004451220973228741,0.3881783856090304,37.81015777474475,35.975830002147006,12.020426944685665,44.063697816219964,21.12038118917766,51.95568938799857,47.58008329771213,8.37286965346036,56.48927470197228,16.450527404139226,55.7896410903243,9.100015249212982,63.752928547168814,64.74594729956337,8.077668388826977,72.73921500085346
6,0.6000000000000001,True,5.505483530978336,30.120486244141507,6.918324343561824,-1.5670000605561853,0.0010859261472526602,0.7132302527126874,58.12048650282062,True,16.239112437612217,-2.7039092267586056,8.277171362190744,1.6854366492102804,0.016298783601055057,1.4523752870316555,38.54536577105943,True,5.490148475175307,42.149275926038904,6.827244763789743,-1.5730102203769991,0.0006979347008741309,0.6613738975235467,62.149276706840766,True,16.426578671421776,-11.21216031258669,6.841709930291195,1.6042400666508267,0.0017095665172311098,1.6588796353620767,38.66714009614981,True,5.414923542646793,51.29037425892739,6.378129220921519,-1.6113919452091732,-0.0019772428271470468,0.3169128299574621,38.04328775667913,True,16.623356383413,-19.335357208734745,6.254368336189948,1.5119618006931708,-0.0011490275355935263,0.3991117478008446,37.2237106738402,34.534790104116375,12.028799456939074,42.75111683278031,21.170081711463983,50.69011292548387,46.12318771092152,8.510316100375679,55.06855467838716,16.63588607159423,54.470619446507826,9.141407852295544,62.48446550980293,63.465135125818406,8.125579935089304,71.50960013933995
7,0.7000000000000001,True,5.508109904783326,29.428658794998416,6.989647368833093,-1.5662487816262005,0.0010531334236808174,0.5636518101328442,57.42865936762676,True,16.144430388294506,-1.881625232552404,8.42240889089391,1.6989274316964,0.016665067687261555,0.9715567629635127,38.08978074278506,True,5.4886369970734155,41.46655312278645,6.893382153542097,-1.5725337232737981,0.000645519944476258,0.5311560145857086,61.466554173096156,True,16.403701699857255,-10.52837190096034,7.007597893827403,1.60540970247257,0.001091621945813886,1.628675176359308,38.18989450323495,True,5.389038243856076,50.65308682386042,6.409820503917265,-1.6126530562344417,-0.0005566777613098355,0.2381211130157209,37.42796804783484,True,16.660132437826523,-18.711002538159494,6.294279510970033,1.511243156549568,0.0016356703029772126,0.41929733761906046,36.6341847709004,33.067585326326196,12.037910077796978,41.415917502847535,21.22476202959126,49.414518108028155,44.638665969343876,8.65063289942552,53.624382803262684,16.837276772042873,53.12824922478631,9.18707360113166,61.20572289997901,62.16505210120807,8.186647718584556,70.27385329802001
8,0.8,True,5.5112884675400675,28.729701285456414,7.0460125498463775,-1.5655126784998143,0.0009916974650319122,0.43554023129968017,56.729702408585,True,16.03680818031022,-1.0462886682846384,8.519564567190262,1.712963433122054,0.017620924038066237,0.5397033952226273,37.62961189182201,True,5.487439343887815,40.77721594783171,6.946497755000668,-1.5720887417072973,0.0005862506571329147,0.42015154746546607,60.777217245769414,True,16.379450881111318,-9.828031854835677,7.170465411463334,1.606174667237404,0.0008398218794881773,1.562380763010575,37.70708684184108,True,5.36221666503587,50.01266618722074,6.433632615218837,-1.6130098766872936,0.0005796870050439214,0.16451868042670942,36.810144812007586,True,16.697594714761983,-18.0826904155413,6.336209244731939,1.5122726931570412,0.003921775168303584,0.44744795563392187,36.0419644591378,31.581579171238435,12.047538268079782,40.0601515120168,21.283486965533488,48.13037984708074,43.13345246118361,8.788425195388982,52.16285819387683,17.0492118098768,51.76414802251055,9.23629914216347,59.91791185066597,60.84643450468103,8.260787096440664,69.03237201768124
9,0.9,True,5.51501131543787,28.025109865604133,7.089566572976345,-1.5648139272213877,0.0008876013861469282,0.3257247081437546,56.025111876663,True,15.916095587176155,-0.2029273732253456,8.573534906712524,1.72797569312964,0.019079285998584654,0.1495487491121334,37.16760068384876,True,5.486541568408994,40.082566752480936,6.9885129097472145,-1.5716815028199331,0.0005316610465863885,0.32554733421680754,60.08256825981816,True,16.35408825599581,-9.111434004282684,7.326703487764391,1.60677685861127,0.0008812727994034215,1.4640997814996917,37.219827653707355,True,5.3350660832228805,49.369876072032824,6.450084483261508,-1.6126369273650667,0.0014796735384499454,0.09629154220145404,36.19077374577565,True,16.73465534961197,-17.450154262207136,6.3809540402953315,1.5147576119647577,0.005724857784898666,0.4820401156154044,35.44732105019214,30.0832950386846,12.057490497835309,38.686024343726025,21.345524699423464,46.83887338256309,41.61365922365753,8.919267232992425,50.68945676159619,17.266640537310533,50.380088144656305,9.28854451567347,58.621958778164505,59.5103560557843,8.347400005550416,67.78544894969069
